Rank,Date,Cash,Cash Interest,Margin Cost,Net Worth,% Return,Diff,
2,9/24/2020,"$98,308.50 ",N/A,N/A,"$99,977.10 ",-0.02%,0.0000%,
5,9/25/2020,"$98,308.50 ",N/A,N/A,"$100,017.45 ",0.02%,0.0404%,
6,9/28/2020,$0.00 ,N/A,N/A,"$100,405.65 ",0.41%,0.3881%,
11,9/29/2020,$0.00 ,N/A,N/A,"$99,131.09 ",-0.87%,-1.2694%,
9,9/30/2020,$0.00 ,N/A,N/A,"$100,546.39 ",0.55%,1.4277%,
6,10/1/2020,$0.00 ,N/A,N/A,"$102,031.94 ",2.03%,1.4775%,
6,10/2/2020,$0.00 ,N/A,N/A,"$101,109.39 ",1.11%,-0.9042%,
6,10/5/2020,$0.00 ,N/A,N/A,"$103,448.74 ",3.45%,2.3137%,
7,10/6/2020,$0.00 ,N/A,N/A,"$101,172.31 ",1.17%,-2.2005%,
6,10/7/2020,$0.00 ,N/A,N/A,"$103,015.11 ",3.02%,1.8214%,
5,10/8/2020,$0.00 ,N/A,N/A,"$105,219.06 ",5.22%,2.1394%,
5,10/9/2020,$0.00 ,N/A,N/A,"$106,279.35 ",6.28%,1.0077%,
5,10/12/2020,$0.00 ,N/A,N/A,"$109,121.09 ",9.12%,2.6738%,
6,10/13/2020,$0.00 ,N/A,N/A,"$107,294.51 ",7.29%,-1.6739%,
7,10/14/2020,$0.00 ,N/A,N/A,"$105,435.64 ",5.44%,-1.7325%,
6,10/15/2020,$0.00 ,N/A,N/A,"$105,279.69 ",5.28%,-0.1479%,
6,10/16/2020,$0.00 ,N/A,N/A,"$105,003.35 ",5.00%,-0.2625%,
7,10/19/2020,$0.00 ,N/A,N/A,"$103,909.65 ",3.91%,-1.0416%,
7,10/20/2020,$0.00 ,N/A,N/A,"$104,197.74 ",4.20%,0.2773%,
7,10/21/2020,$0.00 ,N/A,N/A,"$102,263.27 ",2.26%,-1.8565%,
11,10/22/2020,$0.00 ,N/A,N/A,"$102,481.41 ",2.48%,0.2133%,
8,10/23/2020,$0.00 ,N/A,N/A,"$103,352.27 ",3.35%,0.8498%,
10,10/26/2020,$0.00 ,N/A,N/A,"$100,419.42 ",0.42%,-2.8377%,
21,10/27/2020,$0.00 ,N/A,N/A,"$98,984.56 ",-1.02%,-1.4289%,
27,10/28/2020,$0.00 ,N/A,N/A,"$94,819.36 ",-5.18%,-4.2079%,
27,10/29/2020,$0.00 ,N/A,N/A,"$94,428.19 ",-5.57%,-0.4125%,
27,10/30/2020,$0.00 ,N/A,N/A,"$93,165.95 ",-6.83%,-1.3367%,
22,11/2/2020,$0.00 ,N/A,N/A,"$95,441.45 ",-4.56%,2.4424%,
17,11/4/2020,$0.00 ,N/A,N/A,"$98,879.53 ",-1.12%,3.6023%,
6,11/5/2020,$0.00 ,N/A,N/A,"$107,754.03 ",7.75%,8.9751%,
5,11/6/2020,$0.00 ,N/A,N/A,"$107,767.69 ",7.77%,0.0127%,
7,11/9/2020,$0.00 ,N/A,N/A,"$109,945.09 ",9.95%,2.0205%,
7,11/10/2020,$0.00 ,N/A,N/A,"$110,206.07 ",10.21%,0.2374%,
7,11/11/2020,$0.00 ,N/A,N/A,"$110,652.22 ",10.65%,0.4048%,
7,11/12/2020,$0.00 ,N/A,N/A,"$109,365.67 ",9.37%,-1.1627%,
7,11/13/2020,$0.00 ,N/A,N/A,"$112,121.10 ",12.12%,2.5195%,
8,11/16/2020,$0.00 ,N/A,N/A,"$112,511.88 ",12.51%,0.3485%,
8,11/17/2020,$0.00 ,N/A,N/A,"$111,628.61 ",11.63%,-0.7850%,
8,11/18/2020,$0.00 ,N/A,N/A,"$110,129.02 ",10.13%,-1.3434%,
9,11/19/2020,$0.00 ,N/A,N/A,"$108,274.78 ",8.27%,-1.6837%,
9,11/20/2020,$0.00 ,N/A,N/A,"$108,358.64 ",8.36%,0.0775%,
10,11/24/2020,$0.00 ,N/A,N/A,"$108,854.83 ",8.85%,0.4579%,
10,11/25/2020,$0.00 ,N/A,N/A,"$108,546.68 ",8.55%,-0.2831%,
10,11/27/2020,$0.00 ,N/A,N/A,"$109,952.28 ",9.95%,1.2949%,
