Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
XLU,11/25/20 10:35a,11/25/20 10:35a,Sell,"","2","$64.05"
SPY,11/25/20 10:34a,11/25/20 10:34a,Sell,"","218","$362.13"
XLK,11/3/20 2:04p,11/3/20 2:04p,Buy,"","28","$112.78"
XLV,11/2/20 2:55p,11/2/20 2:55p,Buy,"","479","$103.22"
XLV,11/2/20 2:54p,11/2/20 2:54p,Buy,"","440","$103.24"
XLRE,11/2/20 2:53p,11/2/20 2:53p,Sell,"","2,035","$34.78"
XLP,10/29/20 12:42p,10/29/20 12:42p,Sell,"","524","$62.30"
SPY,10/20/20 2:31p,10/20/20 2:31p,Buy,"","178","$345.76"
XLY,10/19/20 10:22p,10/20/20 9:31a,Sell,"","175","$151.96"
XLK,10/16/20 11:31a,10/16/20 11:31a,Sell,"","305","$121.62"
XLU,10/16/20 11:29a,10/16/20 11:29a,Buy,"","2","$64.07"
XLY,10/16/20 11:28a,10/16/20 11:28a,Buy,"","175","$154.26"
XLC,10/16/20 11:12a,10/16/20 11:12a,Sell,"","475","$60.96"
XLP,10/12/20 10:25a,10/12/20 10:25a,Buy,"","24","$66.41"
SPY,10/9/20 5:04p,10/12/20 9:31a,Buy,"","5","$349.60"
SPY,10/8/20 1:27p,10/8/20 1:27p,Buy,"","32","$342.94"
XLRE,10/3/20 12:03a,10/5/20 9:31a,Buy,"","617","$36.53"
XLE,10/3/20 12:02a,10/5/20 9:31a,Sell,"","260","$29.64"
XLE,9/30/20 12:48p,9/30/20 12:48p,Sell,"","747","$30.37"
XLE,9/30/20 12:47p,9/30/20 12:47p,Buy,"","341","$30.39"
XLI,9/29/20 11:07p,9/30/20 9:30a,Sell,"","115","$77.54"
SPY,9/28/20 11:20a,9/28/20 11:20a,Buy,"","3","$333.71"
XLC,9/28/20 12:06a,9/28/20 9:31a,Buy,"","475","$59.46"
XLRE,9/26/20 2:14p,9/28/20 9:31a,Buy,"","1,508","$35.11"
XLV,9/26/20 2:12p,9/28/20 9:31a,Buy,"","50","$104.04"
XLV,9/28/20 12:09a,9/28/20 9:31a,Buy,"","152","$104.04"
XLI,9/28/20 12:08a,9/28/20 9:31a,Buy,"","115","$77.57"
XLE,9/28/20 12:05a,9/28/20 9:31a,Buy,"","666","$30.81"
XLK,9/28/20 12:08a,9/28/20 9:31a,Buy,"","290","$115.87"
XLP,9/28/20 12:06a,9/28/20 9:31a,Buy,"","500","$63.55"
XLK,9/24/20 12:00p,9/24/20 12:00p,Buy,"","15","$112.10"
